timestamp,satellite_id,satellite_type,clock_error_ns,radial_error_m,along_track_error_m,cross_track_error_m
2024-01-01 00:00:00,MEO-01,MEO,-0.6120656,0.22473969,1.3584647,0.5125002
2024-01-01 00:15:00,MEO-01,MEO,2.291315,0.18531021,1.820613,0.46681058
2024-01-01 00:30:00,MEO-01,MEO,1.6555959,0.18184453,1.4330838,0.6808537
2024-01-01 00:45:00,MEO-01,MEO,0.84450936,0.06473666,1.9691559,0.2817707
2024-01-01 01:00:00,MEO-01,MEO,2.3941653,0.39331782,1.7560114,0.67590666
2024-01-01 01:15:00,MEO-01,MEO,3.02478,0.6068874,1.6704962,0.500304
2024-01-01 01:30:00,MEO-01,MEO,2.9454215,0.61785245,1.5010998,0.47656626
2024-01-01 01:45:00,MEO-01,MEO,0.92171425,0.41606745,1.3061142,0.17678684
2024-01-01 02:00:00,MEO-01,MEO,1.8161186,0.39965743,1.437649,0.1545402
2024-01-01 02:15:00,MEO-01,MEO,2.3006794,0.49351,1.0520494,-0.10850057
2024-01-01 02:30:00,MEO-01,MEO,2.3783724,0.3232931,0.44826403,-0.043008104
2024-01-01 02:45:00,MEO-01,MEO,2.9177132,0.42106488,0.42767826,0.039874442
2024-01-01 03:00:00,MEO-01,MEO,2.2921808,0.42833173,0.43674567,0.092402056
2024-01-01 03:15:00,MEO-01,MEO,0.49770722,0.43037155,0.3421871,-0.33280852
2024-01-01 03:30:00,MEO-01,MEO,1.9176655,0.25084522,0.09527746,-0.2821669
2024-01-01 03:45:00,MEO-01,MEO,1.8815641,0.1929672,0.18972637,-0.30558065
2024-01-01 04:00:00,MEO-01,MEO,1.5573235,0.079198584,-0.5473477,-0.5418896
2024-01-01 04:15:00,MEO-01,MEO,1.8626558,0.040784616,-0.19668677,-0.28680265
2024-01-01 04:30:00,MEO-01,MEO,1.388994,0.061384622,-0.6363511,-0.51981133
2024-01-01 04:45:00,MEO-01,MEO,0.8026521,0.08627221,-0.118797794,-0.46845677
2024-01-01 05:00:00,MEO-01,MEO,0.17988485,0.11176194,-0.29991376,-0.5267436
2024-01-01 05:15:00,MEO-01,MEO,-1.5249594,-0.0836938,-0.17736994,-0.5888041
2024-01-01 05:30:00,MEO-01,MEO,0.48583546,0.12705618,-0.4384363,-0.4744881
2024-01-01 05:45:00,MEO-01,MEO,0.1577657,-0.063965306,0.0054737516,-0.5004491
2024-01-01 06:00:00,MEO-01,MEO,0.15079258,-0.05043074,-0.0049852356,-0.5104274
2024-01-01 06:15:00,MEO-01,MEO,-1.4479384,-0.1324044,-0.06088634,-0.5426798
2024-01-01 06:30:00,MEO-01,MEO,-1.3501405,-0.30863237,-0.19860843,-0.3569538
2024-01-01 06:45:00,MEO-01,MEO,0.71358407,0.013417576,-0.05759606,-0.12163535
2024-01-01 07:00:00,MEO-01,MEO,-0.504343,-0.01127907,-0.3556374,-0.3075404
2024-01-01 07:15:00,MEO-01,MEO,0.0706688,-0.12495335,-0.07066079,-0.13282819
2024-01-01 07:30:00,MEO-01,MEO,-0.76967597,-0.104213305,0.07788661,-0.44029087
2024-01-01 07:45:00,MEO-01,MEO,-0.9120914,-0.075629145,-0.058418825,-0.15437594
2024-01-01 08:00:00,MEO-01,MEO,-0.23017392,-0.30160996,-0.43976197,-0.28673273
2024-01-01 08:15:00,MEO-01,MEO,-1.9587243,-0.21745412,-0.2457853,-0.28662604
2024-01-01 08:30:00,MEO-01,MEO,-1.5712969,-0.10430096,-0.5900893,-0.11890818
2024-01-01 08:45:00,MEO-01,MEO,-2.409927,-0.32700172,-0.22666268,0.22683278
2024-01-01 09:00:00,MEO-01,MEO,-2.599662,-0.18726292,-0.21176359,0.24450977
2024-01-01 09:15:00,MEO-01,MEO,-2.722677,-0.3630179,-0.6167931,0.18931162
2024-01-01 09:30:00,MEO-01,MEO,-2.3727164,-0.18572356,-0.38719115,-0.030252852
2024-01-01 09:45:00,MEO-01,MEO,-3.148868,-0.23396449,-0.1158331,0.21205877
2024-01-01 10:00:00,MEO-01,MEO,-1.4050428,-0.38203052,-0.029656798,0.3228724
2024-01-01 10:15:00,MEO-01,MEO,-3.484402,-0.08568278,-0.033219405,0.33364788
2024-01-01 10:30:00,MEO-01,MEO,-2.6344516,-0.24866438,0.45159426,0.053464346
2024-01-01 10:45:00,MEO-01,MEO,-2.671933,-0.2210586,0.59355706,0.21177696
2024-01-01 11:00:00,MEO-01,MEO,-0.5316645,-0.07744373,0.70938,0.34327352
2024-01-01 11:15:00,MEO-01,MEO,-1.441432,0.0659351,0.776329,0.43299273
2024-01-01 11:30:00,MEO-01,MEO,-0.20605353,-0.09762541,1.3328509,0.014874395
2024-01-01 11:45:00,MEO-01,MEO,-2.2417097,0.06527848,1.6198603,0.30392072
2024-01-01 12:00:00,MEO-01,MEO,-0.012598082,0.15715729,1.3302916,0.32610604
2024-01-01 12:15:00,MEO-01,MEO,1.0257251,0.23641697,1.366556,0.40136304
2024-01-01 12:30:00,MEO-01,MEO,0.6781684,0.23294269,1.6606566,0.34051546
2024-01-01 12:45:00,MEO-01,MEO,2.0637746,0.22001635,1.5021391,0.2806823
2024-01-01 13:00:00,MEO-01,MEO,0.82302487,0.20676832,1.5006301,0.024820676
2024-01-01 13:15:00,MEO-01,MEO,3.0660238,0.32089266,1.5987788,-0.19420983
2024-01-01 13:30:00,MEO-01,MEO,4.2110353,0.21678934,0.91359365,-0.02318478
2024-01-01 13:45:00,MEO-01,MEO,1.7230619,0.03212633,1.4133344,0.12741072
